k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8329694323144105,0.7661774173395104,0.719472856044138,0.8329694323144105
2,0.27444511097780444,0.6950819672131148,0.5913578442300277,0.5176620699509312,0.6950819672131148
3,0.26244751049790044,0.8354285714285714,0.8050237152232871,0.7874169135546049,0.8354285714285714
4,0.11187762447510498,0.8498659517426274,0.8068753653570926,0.790484314613001,0.8498659517426274
5,0.04619076184763048,0.8636363636363636,0.8273960067923727,0.8345892582422441,0.8636363636363636
6,0.017996400719856028,0.8333333333333334,0.7888707690077553,0.8216625716625717,0.8333333333333334
7,0.007198560287942412,0.7916666666666666,0.7181372549019608,0.6780303030303031,0.7916666666666666
8,0.0032993401319736052,0.6363636363636364,0.606060606060606,0.7272727272727273,0.6363636363636364
9,0.0011997600479904018,0.0,0.0,0.0,0.0
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.7972405518896222,0.7345304126643202,0.6960520714439858,0.7972405518896222
