loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
2.7090673446655273,6.387050762485248,2.4523262977600098,5.743231692078153,0.001
2.2600460052490234,5.463243958236918,2.149432420730591,5.238771846164739,0.001
2.2145063877105713,5.369880953553177,2.211129665374756,5.346178102187043,0.001
2.1827011108398438,5.29591826687054,2.2189526557922363,5.380156205968311,0.001
2.171797275543213,5.268861915218149,2.1018388271331787,5.130821677903612,0.001
2.1729023456573486,5.273759938706718,2.128154754638672,5.166085008794029,0.001
2.1440868377685547,5.21006593998116,2.097423791885376,5.086488141540969,0.001
2.132899522781372,5.183249191047767,2.1089468002319336,5.161051945025477,0.001
2.1229634284973145,5.168413984733884,2.304504156112671,5.515998756504088,0.001
2.149367094039917,5.221382127887834,2.104567766189575,5.093477413809838,0.001
