k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8504366812227074,0.801005672861407,0.8085783958760333,0.8504366812227074
2,0.27444511097780444,0.3519125683060109,0.22652500941704387,0.5862571728829054,0.3519125683060109
3,0.26244751049790044,0.7497142857142857,0.7333620175661972,0.7833873062028922,0.7497142857142857
4,0.11187762447510498,0.7238605898123325,0.7041139039555067,0.7696133985883443,0.7238605898123325
5,0.04619076184763048,0.8051948051948052,0.7511759524746539,0.7050555827151572,0.8051948051948052
6,0.017996400719856028,0.7833333333333333,0.7142628205128205,0.6568783068783068,0.7833333333333333
7,0.007198560287942412,0.75,0.6696428571428571,0.6083333333333334,0.75
8,0.0032993401319736052,0.8181818181818182,0.7777777777777778,0.7454545454545454,0.8181818181818182
9,0.0011997600479904018,0.75,0.6428571428571428,0.5625,0.75
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.668866226754649,0.6097939742392768,0.7272507716143134,0.668866226754649
