k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8504366812227074,0.801005672861407,0.8085783958760333,0.8504366812227074
2,0.27444511097780444,0.35081967213114756,0.2258449139822399,0.5482278251814265,0.35081967213114756
3,0.26244751049790044,0.7462857142857143,0.7318042939654492,0.7842250260876518,0.7462857142857143
4,0.11187762447510498,0.7184986595174263,0.6943008604611449,0.7044661700561455,0.7184986595174263
5,0.04619076184763048,0.8181818181818182,0.7673474572234542,0.727414000141273,0.8181818181818182
6,0.017996400719856028,0.7833333333333333,0.7225378787878788,0.6714543812104788,0.7833333333333333
7,0.007198560287942412,0.75,0.6815476190476191,0.6256944444444444,0.75
8,0.0032993401319736052,0.7272727272727273,0.7382920110192838,0.7636363636363637,0.7272727272727273
9,0.0011997600479904018,0.75,0.6428571428571428,0.5625,0.75
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.667366526694661,0.6089519602567611,0.7112251756095205,0.667366526694661
