k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8504366812227074,0.801005672861407,0.8085783958760333,0.8504366812227074
2,0.27444511097780444,0.3519125683060109,0.22652500941704387,0.5862571728829054,0.3519125683060109
3,0.26244751049790044,0.7485714285714286,0.7336335067263382,0.7863992707343952,0.7485714285714286
4,0.11187762447510498,0.7238605898123325,0.705262483601475,0.7762113264256695,0.7238605898123325
5,0.04619076184763048,0.7987012987012987,0.7495016685704048,0.7065323565323566,0.7987012987012987
6,0.017996400719856028,0.8,0.7457332790666126,0.707106227106227,0.8
7,0.007198560287942412,0.75,0.6696428571428571,0.6083333333333334,0.75
8,0.0032993401319736052,0.8181818181818182,0.7867768595041322,0.7878787878787878,0.8181818181818182
9,0.0011997600479904018,0.25,0.30000000000000004,0.375,0.25
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.6679664067186564,0.6101010895190022,0.7296665667842529,0.6679664067186564
