k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8537117903930131,0.8091968974321916,0.8345753751414831,0.8537117903930131
2,0.27444511097780444,0.6961748633879782,0.5924906767388035,0.5182283277429351,0.6961748633879782
3,0.26244751049790044,0.8297142857142857,0.8050525830411972,0.7824749825910957,0.8297142857142857
4,0.11187762447510498,0.8364611260053619,0.7995629550308818,0.7666179334212625,0.8364611260053619
5,0.04619076184763048,0.8701298701298701,0.8427851909994767,0.8175526149642626,0.8701298701298701
6,0.017996400719856028,0.8666666666666667,0.8368788611334944,0.8354504504504505,0.8666666666666667
7,0.007198560287942412,0.7916666666666666,0.7501763668430335,0.7217261904761904,0.7916666666666666
8,0.0032993401319736052,0.8181818181818182,0.7867768595041322,0.7878787878787878,0.8181818181818182
9,0.0011997600479904018,0.25,0.375,0.75,0.25
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.8020395920815838,0.748701784340782,0.7247397382775472,0.8020395920815838
