loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,lr
0.7411774396896362,0.7730377316474915,0.6845868229866028,0.7815462946891785,0.001
0.6393072009086609,0.799045741558075,0.6793124079704285,0.7939460277557373,0.001
0.6152626276016235,0.8035363554954529,0.6468470096588135,0.7961342334747314,0.001
0.6075320243835449,0.8070914149284363,0.6443542838096619,0.7954047918319702,0.001
0.6014515161514282,0.8062494397163391,0.6314437985420227,0.8012399673461914,0.001
0.5943635106086731,0.8099915981292725,0.6449520587921143,0.7957695126533508,0.001
0.5919367671012878,0.8069043159484863,0.6352769732475281,0.7950401306152344,0.001
0.5826520323753357,0.810272216796875,0.6544638872146606,0.7943107485771179,0.001
0.5802695751190186,0.8113948702812195,0.6347790360450745,0.7884755730628967,0.001
0.5764213800430298,0.8118626475334167,0.6388530135154724,0.7990517616271973,0.001
0.571168839931488,0.814575731754303,0.6279627680778503,0.8012399673461914,0.001
0.5708521604537964,0.8154177069664001,0.6305093169212341,0.8052516579627991,0.001
0.5685893297195435,0.8142015337944031,0.639866828918457,0.8001458644866943,0.001
0.5651376247406006,0.814575731754303,0.64777010679245,0.7975929975509644,0.001
0.5665980577468872,0.8152306079864502,0.6248925924301147,0.8001458644866943,0.001
0.557039737701416,0.8168210387229919,0.6398147940635681,0.8023340702056885,0.001
0.5585849285125732,0.8177565932273865,0.6433755159378052,0.7913931608200073,0.001
0.5572088956832886,0.8170081377029419,0.6313015222549438,0.7961342334747314,0.001
0.5549542903900146,0.8165403604507446,0.6341859698295593,0.7990517616271973,0.001
0.5528478026390076,0.818879246711731,0.6259045600891113,0.801604688167572,0.001
