k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8537117903930131,0.8093548136598158,0.830354998955785,0.8537117903930131
2,0.27444511097780444,0.7147540983606557,0.6305699002950008,0.6951382344332396,0.7147540983606557
3,0.26244751049790044,0.848,0.8238995012297774,0.8023485937754488,0.848
4,0.11187762447510498,0.868632707774799,0.8308596247746989,0.8007816580202638,0.868632707774799
5,0.04619076184763048,0.8961038961038961,0.8700343415875702,0.8475131553856953,0.8961038961038961
6,0.017996400719856028,0.9166666666666666,0.8935817635817637,0.8746710526315788,0.9166666666666666
7,0.007198560287942412,0.8333333333333334,0.7952838827838828,0.773015873015873,0.8333333333333334
8,0.0032993401319736052,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
9,0.0011997600479904018,1.0,1.0,1.0,1.0
10,0.00029994001199760045,0.0,0.0,0.0,0.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.8185362927414518,0.7708008936129394,0.7837291276498687,0.8185362927414518
