k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8537117903930131,0.8091968974321916,0.8345753751414831,0.8537117903930131
2,0.27444511097780444,0.692896174863388,0.5892480200717174,0.5160391553541437,0.692896174863388
3,0.26244751049790044,0.8091428571428572,0.7810038973783822,0.7739199532134876,0.8091428571428572
4,0.11187762447510498,0.7479892761394102,0.7237019943227844,0.7340995507077152,0.7479892761394102
5,0.04619076184763048,0.525974025974026,0.522562358276644,0.6992588247548147,0.525974025974026
6,0.017996400719856028,0.4166666666666667,0.4011111111111111,0.6659420289855073,0.4166666666666667
7,0.007198560287942412,0.5,0.4671052631578947,0.625,0.5
8,0.0032993401319736052,0.45454545454545453,0.37962037962037964,0.7070707070707071,0.45454545454545453
9,0.0011997600479904018,0.0,0.0,0.0,0.0
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,0.0,0.0,0.0,0.0
Weighted Mean,,0.7579484103179364,0.7062487015101606,0.7075783205709565,0.7579484103179364
