k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8504366812227074,0.8007761827844374,0.7752319652343029,0.8504366812227074
2,0.2620886981402003,0.4279475982532751,0.2836198498453793,0.21331798063177448,0.4279475982532751
3,0.2509298998569385,0.8187001140250855,0.7565766748145261,0.7186865091279361,0.8187001140250855
4,0.15278969957081545,0.8632958801498127,0.8204647629185813,0.7930708322995037,0.8632958801498127
5,0.045779685264663805,0.7875,0.7328167256084877,0.6891062801932367,0.7875
6,0.017167381974248927,0.7666666666666667,0.7134009465855307,0.6761593016912165,0.7666666666666667
7,0.006008583690987125,0.8571428571428571,0.8283730158730158,0.8088235294117647,0.8571428571428571
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.7284692417739629,0.6517764849445358,0.6101034335955651,0.7284692417739629
