k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8449781659388647,0.7862085919409583,0.7416302765647744,0.8449781659388647
2,0.2620886981402003,0.435589519650655,0.2886650415732485,0.21996537462327642,0.435589519650655
3,0.2509298998569385,0.8175598631698974,0.7557828655345351,0.7160775995376517,0.8175598631698974
4,0.15278969957081545,0.8651685393258427,0.8197974566507392,0.7825221315648764,0.8651685393258427
5,0.045779685264663805,0.83125,0.7796574785693171,0.7342478354978355,0.83125
6,0.017167381974248927,0.8,0.7536585365853659,0.7136363636363636,0.8
7,0.006008583690987125,0.8571428571428571,0.8283730158730158,0.8088235294117647,0.8571428571428571
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.7316165951359085,0.6518150961028318,0.6034825805876686,0.7316165951359085
