k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8504366812227074,0.8007761827844374,0.7752319652343029,0.8504366812227074
2,0.2620886981402003,0.4344978165938865,0.28815550381791505,0.21808525662342435,0.4344978165938865
3,0.2509298998569385,0.7867730900798175,0.7399644187577811,0.6992331431182173,0.7867730900798175
4,0.15278969957081545,0.8389513108614233,0.8094958597635227,0.7828302791561177,0.8389513108614233
5,0.045779685264663805,0.78125,0.74644978106185,0.7184246319607425,0.78125
6,0.017167381974248927,0.7666666666666667,0.7253968253968253,0.7009661835748792,0.7666666666666667
7,0.006008583690987125,0.8571428571428571,0.8283730158730158,0.8088235294117647,0.8571428571428571
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.7181688125894135,0.6479508362445336,0.6066748546642576,0.7181688125894135
