k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8504366812227074,0.8007761827844374,0.7752319652343029,0.8504366812227074
2,0.2620886981402003,0.43122270742358076,0.28575170281944184,0.2160094611560032,0.43122270742358076
3,0.2509298998569385,0.5997719498289624,0.6104478745040011,0.6612492865733605,0.5997719498289624
4,0.15278969957081545,0.7883895131086143,0.7724042369555449,0.7639165610390608,0.7883895131086143
5,0.045779685264663805,0.7,0.6814263322884012,0.682901376146789,0.7
6,0.017167381974248927,0.7833333333333333,0.7505721168322794,0.7442424242424243,0.7833333333333333
7,0.006008583690987125,0.8095238095238095,0.7886904761904762,0.7889822595704947,0.8095238095238095
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,1.0,1.0,1.0,1.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.6592274678111588,0.6066571637822775,0.5929933068904801,0.6592274678111588
