k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8504366812227074,0.8007639380529888,0.7790147106222282,0.8504366812227074
2,0.2620886981402003,0.4334061135371179,0.2874681001585794,0.21758362597835226,0.4334061135371179
3,0.2509298998569385,0.7571265678449259,0.7268734877109293,0.7010819894331664,0.7571265678449259
4,0.15278969957081545,0.8089887640449438,0.7905843426678604,0.7791242343391831,0.8089887640449438
5,0.045779685264663805,0.7375,0.7221295180722891,0.7168238993710692,0.7375
6,0.017167381974248927,0.7833333333333333,0.7446110367395508,0.7329208754208755,0.7833333333333333
7,0.006008583690987125,0.8571428571428571,0.8283730158730158,0.8088235294117647,0.8571428571428571
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.7041487839771102,0.6408095589967803,0.6079077804687877,0.7041487839771102
