k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8449781659388647,0.7862085919409583,0.7416302765647744,0.8449781659388647
2,0.2620886981402003,0.4421397379912664,0.29373359356305695,0.2277212717691315,0.4421397379912664
3,0.2509298998569385,0.8187001140250855,0.7550302008955339,0.7213408707906607,0.8187001140250855
4,0.15278969957081545,0.8707865168539326,0.8276373312614053,0.8139619251376147,0.8707865168539326
5,0.045779685264663805,0.83125,0.7796574785693171,0.7342478354978355,0.83125
6,0.017167381974248927,0.8,0.7536585365853659,0.7136363636363636,0.8
7,0.006008583690987125,0.8571428571428571,0.8283730158730158,0.8088235294117647,0.8571428571428571
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.73447782546495,0.6541524923192428,0.6116397023165197,0.73447782546495
