k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8449781659388647,0.7862085919409583,0.7416302765647744,0.8449781659388647
2,0.2620886981402003,0.4344978165938865,0.28844631310882096,0.22210359390712142,0.4344978165938865
3,0.2509298998569385,0.8198403648802737,0.7562552318282739,0.7228912324419601,0.8198403648802737
4,0.15278969957081545,0.8707865168539326,0.8276373312614053,0.8139619251376147,0.8707865168539326
5,0.045779685264663805,0.83125,0.7796574785693171,0.7342478354978355,0.83125
6,0.017167381974248927,0.8166666666666667,0.7720164609053497,0.7322389420884633,0.8166666666666667
7,0.006008583690987125,0.9047619047619048,0.8817204301075269,0.8601190476190477,0.9047619047619048
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.7333333333333334,0.6537098526597453,0.6111839755171112,0.7333333333333334
