k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8537117903930131,0.8093548136598158,0.830354998955785,0.8537117903930131
2,0.27444511097780444,0.6885245901639344,0.5849474418714733,0.5127354168971207,0.6885245901639344
3,0.26244751049790044,0.832,0.7915278624648583,0.8011643899378705,0.832
4,0.11187762447510498,0.8364611260053619,0.7925531107987913,0.7682449552166926,0.8364611260053619
5,0.04619076184763048,0.8311688311688312,0.7690449884900699,0.719608822549999,0.8311688311688312
6,0.017996400719856028,0.8,0.7525480367585631,0.7750877192982455,0.8
7,0.007198560287942412,0.7916666666666666,0.7181372549019608,0.6780303030303031,0.7916666666666666
8,0.0032993401319736052,0.7272727272727273,0.7008264462809918,0.7532467532467532,0.7272727272727273
9,0.0011997600479904018,0.5,0.6000000000000001,0.75,0.5
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.7975404919016198,0.7371731565894457,0.7211205034147762,0.7975404919016198
