k,weight,accuracy,fscore,precision,recall
1,0.2620886981402003,0.8449781659388647,0.7862085919409583,0.7416302765647744,0.8449781659388647
2,0.2620886981402003,0.4279475982532751,0.2836198498453793,0.21331798063177448,0.4279475982532751
3,0.2509298998569385,0.8152793614595211,0.7557286309336744,0.7116507145000335,0.8152793614595211
4,0.15278969957081545,0.8614232209737828,0.818317944778845,0.7835033131662346,0.8614232209737828
5,0.045779685264663805,0.76875,0.7124231503073989,0.6708358555286521,0.76875
6,0.017167381974248927,0.75,0.6930232558139535,0.6569444444444444,0.75
7,0.006008583690987125,0.8571428571428571,0.8283730158730158,0.8088235294117647,0.8571428571428571
8,0.0017167381974248926,0.8333333333333334,0.7592592592592592,0.7000000000000001,0.8333333333333334
9,0.0002861230329041488,0.0,0.0,0.0,0.0
10,0.0002861230329041488,0.0,0.0,0.0,0.0
11,0.0002861230329041488,0.0,0.0,0.0,0.0
12,0.0002861230329041488,0.0,0.0,0.0,0.0
13,0.0002861230329041488,1.0,1.0,1.0,1.0
Weighted Mean,,0.724749642346209,0.6461342297006955,0.5969032180567199,0.724749642346209
