k,weight,accuracy,fscore,precision,recall
1,0.27474505098980206,0.8537117903930131,0.8093548136598158,0.830354998955785,0.8537117903930131
2,0.27444511097780444,0.6983606557377049,0.5944745017141843,0.5200645036459641,0.6983606557377049
3,0.26244751049790044,0.8422857142857143,0.8121316540676624,0.7945522193246931,0.8422857142857143
4,0.11187762447510498,0.8525469168900804,0.8132193686978898,0.7835377408585054,0.8525469168900804
5,0.04619076184763048,0.8636363636363636,0.8327078928823115,0.8196395441293399,0.8636363636363636
6,0.017996400719856028,0.8833333333333333,0.855619205756192,0.8434329065908014,0.8833333333333333
7,0.007198560287942412,0.875,0.8416666666666668,0.8333333333333334,0.875
8,0.0032993401319736052,0.45454545454545453,0.37962037962037964,0.7070707070707071,0.45454545454545453
9,0.0011997600479904018,0.0,0.0,0.0,0.0
10,0.00029994001199760045,1.0,1.0,1.0,1.0
11,0.00029994001199760045,1.0,1.0,1.0,1.0
Weighted Mean,,0.8068386322735455,0.7514124751768023,0.7290237585776933,0.8068386322735455
